rxn_smiles,dE0
[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([C:2]([N:3]=[O:4])=[N+:6]=[N-:5])([H:7])([H:8])[H:9],48.61085
[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9]>>[C:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])([H:7])([H:8])[H:9],74.0298
[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]1([H:6])([H:7])[O:2][C:3]([H:9])([H:10])[C:4]1([H:11])[H:12].[O:5]([H:8])[H:13],97.422
[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[O:5]1,75.25375
[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]([C:4](=[O:5])[H:12])([H:9])([H:10])[H:11],72.16356
[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:1]([O:2][C:3](=[C:4]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[O:5]([H:9])[H:13],71.0891
[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6]>>[C:2](#[N:3])[H:6].[O:1]=[N+:5]=[N-:4],48.52271
[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1]1([H:7])([H:8])[C@:2]([C:3]([H:10])([H:11])[H:12])([H:9])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1,73.6466
[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1](=[C:4]([C:5]([C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:15])[H:16])([H:13])[H:14])[H:12])([H:7])[H:8],62.05624
[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1]1([H:7])([H:8])[C@:3]2([H:10])[C:2]([H:9])=[C:6]([H:15])[C:5]([H:13])([H:14])[C@:4]12[H:12].[H:11][H:16],110.46106
[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16]>>[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],81.42548000000002
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([c:2]1[n:3]([H:9])[c:4]([H:8])[n:5][n:6]1)[H:7],58.54008
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],110.29537
[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7]>>[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],58.54715
