,label,reactants,products,EA Reactant MP2,EA lowest conformer MP2,lowest energy conformer filenames,product_file
0,A_A_A_B_A_C,A_A_A_B_A_0,A_A_A_B_0_C,22.27738838089863,22.50346523692133,reactant-conformers/A_A_A_B_A_0/02.xyz,product-conformers/sn2/A_A_A_B_0_C/02.xyz
1,A_A_A_B_B_C,A_A_A_B_B_0,A_A_A_B_0_C,1.7405842732987369,1.9965334258740768,reactant-conformers/A_A_A_B_B_0/02.xyz,product-conformers/sn2/A_A_A_B_0_C/02.xyz
2,A_A_A_B_B_D,A_A_A_B_B_0,A_A_A_B_0_D,3.598975715227425,3.854924867860973,reactant-conformers/A_A_A_B_B_0/02.xyz,product-conformers/sn2/A_A_A_B_0_D/02.xyz
3,A_A_A_B_C_A,A_A_A_B_C_0,A_A_A_B_0_A,-26.252095811064237,-26.065420072288127,reactant-conformers/A_A_A_B_C_0/02.xyz,product-conformers/sn2/A_A_A_B_0_A/00.xyz
4,A_A_A_B_C_B,A_A_A_B_C_0,A_A_A_B_0_B,-43.301340790050745,-43.11466505127464,reactant-conformers/A_A_A_B_C_0/02.xyz,product-conformers/sn2/A_A_A_B_0_B/02.xyz
5,A_A_A_B_C_C,A_A_A_B_C_0,A_A_A_B_0_C,-2.9271110526751727,-2.74043531389907,reactant-conformers/A_A_A_B_C_0/02.xyz,product-conformers/sn2/A_A_A_B_0_C/02.xyz
6,A_A_A_B_C_D,A_A_A_B_C_0,A_A_A_B_0_D,-1.2987842264119536,-1.1121084876358507,reactant-conformers/A_A_A_B_C_0/02.xyz,product-conformers/sn2/A_A_A_B_0_D/02.xyz
7,A_A_A_C_A_A,A_A_A_C_A_0,A_A_A_C_0_A,-6.5212653142177714,-6.3697642574795745,reactant-conformers/A_A_A_C_A_0/00.xyz,product-conformers/sn2/A_A_A_C_0_A/00.xyz
8,A_A_A_C_A_B,A_A_A_C_A_0,A_A_A_C_0_B,-24.52145297737297,-24.369951920634776,reactant-conformers/A_A_A_C_A_0/00.xyz,product-conformers/sn2/A_A_A_C_0_B/00.xyz
9,A_A_A_C_B_A,A_A_A_C_B_0,A_A_A_C_0_A,-20.90276321675151,-20.73919199604529,reactant-conformers/A_A_A_C_B_0/00.xyz,product-conformers/sn2/A_A_A_C_0_A/00.xyz
